,CVE_DOC
0,F29414
1,F29415
2,F29416
3,F29417
4,F29418
5,F29419
6,F29420
7,F29421
8,F29422
9,F29423
10,F29424
11,F29425
12,F29426
13,F29427
14,F29428
15,F29429
16,F29430
17,F29431
18,F29432
19,F29433
20,F29434
21,F29435
22,F29436
23,F29437
24,F29438
25,F29439
26,F29440
27,F29441
28,F29442
29,F29443
30,F29444
31,F29445
32,F29446
33,F29447
34,F29448
35,F29449
36,F29450
37,F29451
38,F29452
39,F29453
40,F29454
41,F29455
42,F29456
43,F29457
44,F29458
45,F29459
46,F29460
47,F29461
48,F29462
49,F29463
50,F29464
51,F29465
52,F29466
53,F29467
54,F29468
55,F29469
56,F29470
57,F29471
58,F29472
59,F29473
60,F29474
61,F29475
62,F29476
63,F29477
64,F29478
65,F29479
66,F29480
67,F29481
68,F29482
69,F29483
70,F29484
71,F29485
72,F29486
73,F29487
74,F29488
75,F29489
76,F29490
77,F29491
78,F29492
79,F29493
80,F29494
81,F29495
82,F29496
83,F29497
84,F29498
85,F29499
86,F29500
87,F29501
88,F29502
89,F29503
90,F29504
91,F29505
92,F29506
93,F29507
94,F29508
95,F29509
96,F29510
97,F29511
98,F29512
99,F29513
100,F29514
101,F29515
102,F29516
103,F29517
104,F29518
105,F29519
106,F29520
107,F29521
108,F29522
109,F29523
110,F29524
111,F29525
112,F29526
113,F29527
114,F29528
115,F29529
116,F29530
117,F29531
118,F29532
119,F29533
120,F29534
121,F29535
122,F29536
123,F29537
124,F29538
125,F29539
126,F29540
127,F29541
128,F29542
129,F29543
130,F29544
131,F29545
132,F29546
133,F29547
134,F29548
135,F29549
136,F29550
137,F29551
138,F29552
139,F29553
140,F29554
141,F29555
142,F29556
143,F29557
144,F29558
145,F29559
146,F29560
147,F29561
148,F29562
149,F29563
150,F29564
151,F29565
152,F29566
153,F29567
154,F29568
155,F29569
156,F29570
157,F29571
158,F29572
159,F29573
160,F29574
161,F29575
162,F29576
163,F29577
164,F29578
165,F29579
166,F29580
167,F29581
168,F29582
169,F29583
170,F29584
171,F29585
172,F29586
173,F29587
174,F29588
175,F29589
176,F29590
177,F29591
178,F29592
179,F29593
180,F29594
181,F29595
182,F29596
183,F29597
184,F29598
185,F29599
186,F29600
187,F29601
188,F29602
189,F29603
190,F29604
191,F29605
192,F29606
193,F29607
194,F29608
195,F29609
196,F29610
197,F29611
198,F29612
199,F29613
200,F29614
201,F29615
202,F29616
203,F29617
204,F29618
205,F29619
206,F29620
207,F29621
208,F29622
209,F29623
210,F29624
211,F29625
212,F29626
213,F29627
214,F29628
215,F29629
216,F29630
217,F29631
218,F29632
219,F29633
220,F29634
221,F29635
222,F29636
223,F29637
224,F29638
225,F29639
226,F29640
227,F29641
228,F29642
229,F29643
230,F29644
231,F29645
232,F29646
233,F29647
234,F29648
235,F29649
236,F29650
237,F29651
238,F29652
239,F29653
240,F29654
241,F29655
242,F29656
243,F29657
244,F29658
245,F29659
246,F29660
247,F29661
248,F29662
249,F29663
250,F29664
251,F29665
252,F29666
253,F29667
254,F29668
255,F29669
256,F29670
257,F29671
258,F29672
259,F29673
260,F29674
261,F29675
262,F29676
263,F29677
264,F29678
265,F29679
266,F29680
267,F29681
268,F29682
269,F29683
270,F29684
271,F29685
272,F29686
273,F29687
274,F29688
275,F29689
276,F29690
277,F29691
278,F29692
279,F29693
280,F29694
281,F29695
282,F29696
283,F29697
284,F29698
285,F29699
286,F29700
287,F29701
288,F29702
289,F29703
290,F29704
291,F29705
292,F29706
293,F29707
294,F29708
295,F29709
296,F29710
297,F29711
298,F29712
299,F29713
300,F29714
301,F29715
302,F29716
303,F29717
304,F29718
305,F29719
306,F29720
307,F29721
308,F29722
309,F29723
310,F29724
311,F29725
312,F29726
313,F29727
314,F29728
315,F29729
316,F29730
317,F29731
318,F29732
319,F29733
320,F29734
321,F29735
322,F29736
323,F29737
324,F29738
325,F29739
326,F29740
327,F29741
328,F29742
329,F29743
330,F29744
331,F29745
332,F29746
333,F29747
334,F29748
335,F29749
336,F29750
337,F29751
338,F29752
339,F29753
340,F29754
341,F29755
342,F29756
343,F29757
344,F29758
345,F29759
346,F29760
347,F29763
348,F29764
349,F29765
350,F29766
351,F29767
352,F29768
353,F29769
354,F29770
355,F29771
356,F29772
357,F29773
358,F29774
359,F29775
360,F29776
361,F29777
362,F29778
363,F29779
364,F29780
365,F29781
366,F29782
367,F29783
368,F29784
369,F29785
370,F29786
371,F29787
372,F29788
373,F29789
374,F29790
375,F29791
376,F29792
377,F29793
378,F29794
379,F29795
380,F29796
381,F29797
382,F29798
383,F29799
384,F29800
385,F29801
386,F29802
387,F29803
388,F29804
389,F29805
390,F29806
391,F29807
392,F29808
393,F29809
394,F29810
395,F29811
396,F29812
397,F29813
398,F29814
399,F29815
400,F29816
401,F29817
402,F29818
403,F29819
404,F29820
405,F29821
406,F29822
407,F29823
408,F29824
409,F29825
410,F29826
411,F29827
412,F29828
413,F29829
414,F29830
415,F29831
416,F29832
417,F29833
418,F29834
419,F29835
420,F29836
421,F29837
422,F29838
423,F29839
424,F29840
425,F29841
426,F29842
427,F29843
428,F29844
429,F29845
430,F29846
431,F29847
432,F29848
433,F29849
434,F29850
435,F29851
436,F29852
437,F29853
438,F29854
439,F29855
440,F29856
441,F29857
442,F29858
443,F29859
444,F29860
445,F29861
446,F29862
447,F29863
448,F29864
449,F29865
450,F29866
451,F29867
452,F29868
453,F29869
454,F29870
455,F29871
456,F29872
457,F29873
458,F29874
459,F29875
460,F29876
461,F29877
462,F29878
463,F29879
464,F29880
465,F29881
466,F29882
467,F29883
468,F29884
469,F29885
470,F29886
471,F29887
472,F29888
473,F29889
474,F29890
475,F29891
476,F29892
477,F29893
478,F29894
479,F29895
480,F29896
481,F29897
482,F29898
483,F29899
484,F29900
485,F29901
486,F29902
487,F29903
488,F29904
489,F29905
490,F29906
491,F29907
492,F29908
493,F29909
494,F29910
495,F29911
496,F29912
497,F29913
498,F29914
499,F29915
500,F29916
501,F29917
502,F29918
503,F29919
504,F29920
505,F29921
506,F29922
507,F29923
508,F29924
509,F29925
510,F29926
511,F29927
512,F29928
513,F29929
514,F29930
515,F29931
516,F29932
517,F29933
518,F29934
519,F29935
520,F29936
521,F29937
522,F29938
523,F29939
524,F29940
525,F29941
526,F29942
527,F29943
528,F29944
529,F29945
530,F29946
531,F29947
532,F29948
533,F29949
534,F29950
535,F29951
536,F29952
537,F29953
538,F29954
539,F29955
540,F29956
541,F29957
542,F29958
543,F29959
544,F29960
545,F29961
546,F29962
547,F29963
548,F29964
549,F29965
550,F29966
551,F29967
552,F29968
553,F29969
554,F29970
555,F29971
556,F29972
557,F29973
558,F29974
559,F29975
560,F29976
561,F29977
562,F29978
563,F29979
564,F29980
565,F29981
566,F29982
567,F29983
568,F29984
569,F29985
570,F29986
571,F29987
572,F29988
573,F29989
574,F29990
575,F29991
576,F29992
577,F29993
